run_date,run,Day,plot,treatment,CO2_flux
7/12/2011,2,3,12,Press,643.2816761
7/12/2011,2,3,14,Press,886.0375061
7/12/2011,2,3,33,Press,1028.820345
7/12/2011,2,3,34,Press,494.0934245
7/12/2011,2,3,36,Press,863.6724562
7/12/2011,2,3,38,Press,968.7680341
7/12/2011,2,3,40,Press,1086.88074
7/12/2011,2,3,41,Press,604.9263402
7/12/2011,2,3,45,Press,1097.31565
7/12/2011,2,3,47,Press,637.6889123
7/15/2011,3,5,17,Control,290.9009855
7/15/2011,3,5,19,Control,411.2500117
7/15/2011,3,5,21,Control,404.3749401
7/15/2011,3,5,24,Control,575.5227989
7/15/2011,3,5,26,Control,289.3158665
7/15/2011,3,5,27,Control,396.1233256
7/15/2011,3,5,28,Control,619.5171946
7/15/2011,3,5,30,Control,601.2971128
7/15/2011,3,5,49,Control,563.9794661
7/15/2011,3,5,50,Control,245.5433002
7/15/2011,3,5,52,Control,218.2176304
7/15/2011,3,5,54,Control,312.349926
7/15/2011,3,5,56,Control,300.8245074
7/15/2011,3,5,57,Control,269.1689087
7/15/2011,3,5,61,Control,417.9044931
7/15/2011,3,5,63,Control,465.8245088
7/15/2011,3,5,98,Control,257.9067436
7/15/2011,3,5,100,Control,140.6032704
7/15/2011,3,5,103,Control,95.24869625
7/15/2011,3,5,105,Control,293.0757904
7/15/2011,3,5,108,Control,217.7246758
7/15/2011,3,5,110,Control,483.6835747
7/15/2011,3,5,111,Control,517.3097555
7/15/2011,3,5,1,Press,564.1531393
7/15/2011,3,5,3,Press,598.3408295
7/15/2011,3,5,5,Press,530.5153633
7/15/2011,3,5,8,Press,556.2809764
7/15/2011,3,5,10,Press,546.7621736
7/15/2011,3,5,11,Press,1167.593157
7/15/2011,3,5,12,Press,479.4048076
7/15/2011,3,5,14,Press,764.7387127
7/15/2011,3,5,33,Press,699.6539082
7/15/2011,3,5,34,Press,523.6974592
7/15/2011,3,5,36,Press,790.588419
7/15/2011,3,5,38,Press,573.0735584
7/15/2011,3,5,40,Press,848.4657169
7/15/2011,3,5,41,Press,528.9434976
7/15/2011,3,5,45,Press,862.1006931
7/15/2011,3,5,47,Press,597.0556244
7/20/2011,4,10,19,Control,226.1248016
7/20/2011,4,10,21,Control,384.1020521
7/20/2011,4,10,24,Control,293.7673752
7/20/2011,4,10,26,Control,235.0941005
7/20/2011,4,10,27,Control,334.0449292
7/20/2011,4,10,28,Control,327.1276074
7/20/2011,4,10,30,Control,362.604232
7/20/2011,4,10,49,Control,411.5230001
7/20/2011,4,10,50,Control,11.27500831
7/20/2011,4,10,52,Control,157.0128853
7/20/2011,4,10,54,Control,147.3501326
7/20/2011,4,10,57,Control,81.7377841
7/20/2011,4,10,61,Control,306.7188434
7/20/2011,4,10,63,Control,176.4937308
7/20/2011,4,10,98,Control,200.0636191
7/20/2011,4,10,100,Control,257.5235656
7/20/2011,4,10,102,Control,161.3022164
7/20/2011,4,10,103,Control,290.4896398
7/20/2011,4,10,105,Control,174.6445263
7/20/2011,4,10,108,Control,205.4476018
7/20/2011,4,10,110,Control,213.9396895
7/20/2011,4,10,111,Control,198.2902229
7/20/2011,4,10,1,Press,533.5810043
7/20/2011,4,10,3,Press,400.7943904
7/20/2011,4,10,5,Press,356.9509873
7/20/2011,4,10,8,Press,462.9521135
7/20/2011,4,10,10,Press,277.4174179
7/20/2011,4,10,11,Press,390.574678
7/20/2011,4,10,12,Press,553.5804908
7/20/2011,4,10,14,Press,485.8745332
7/20/2011,4,10,33,Press,466.6283603
7/20/2011,4,10,34,Press,361.9240373
7/20/2011,4,10,36,Press,322.8111427
7/20/2011,4,10,38,Press,317.6707356
7/20/2011,4,10,40,Press,675.1983575
7/20/2011,4,10,41,Press,278.7749099
7/20/2011,4,10,45,Press,521.043372
7/27/2011,5,17,17,Control,111.2235523
7/27/2011,5,17,19,Control,127.4473744
7/27/2011,5,17,21,Control,157.8674769
7/27/2011,5,17,24,Control,342.5517233
7/27/2011,5,17,26,Control,299.4249703
7/27/2011,5,17,27,Control,556.4847861
7/27/2011,5,17,28,Control,258.9133707
7/27/2011,5,17,30,Control,426.8785583
7/27/2011,5,17,49,Control,522.7700622
7/27/2011,5,17,50,Control,277.1042447
7/27/2011,5,17,52,Control,422.6157368
7/27/2011,5,17,54,Control,296.0515377
7/27/2011,5,17,56,Control,211.1617404
7/27/2011,5,17,61,Control,290.7342524
7/27/2011,5,17,63,Control,94.08030751
7/27/2011,5,17,98,Control,219.9299247
7/27/2011,5,17,100,Control,418.3090012
7/27/2011,5,17,102,Control,282.6617982
7/27/2011,5,17,103,Control,310.7484453
7/27/2011,5,17,111,Control,355.6044723
7/27/2011,5,17,1,Press,206.5863726
7/27/2011,5,17,3,Press,304.3675734
7/27/2011,5,17,5,Press,156.6605644
7/27/2011,5,17,8,Press,162.939634
7/27/2011,5,17,10,Press,112.9015678
7/27/2011,5,17,11,Press,407.5929242
7/27/2011,5,17,12,Press,412.9138393
7/27/2011,5,17,14,Press,365.6782632
7/27/2011,5,17,33,Press,476.4952332
7/27/2011,5,17,34,Press,345.3097865
7/27/2011,5,17,36,Press,237.5830043
7/27/2011,5,17,38,Press,416.9263501
7/27/2011,5,17,40,Press,294.8810807
7/27/2011,5,17,41,Press,254.1480647
7/27/2011,5,17,45,Press,623.7699677
8/8/2011,6,29,17,Control,360.6433877
8/8/2011,6,29,19,Control,143.1461338
8/8/2011,6,29,21,Control,195.650429
8/8/2011,6,29,24,Control,467.7431
8/8/2011,6,29,26,Control,589.0313293
8/8/2011,6,29,27,Control,470.5628862
8/8/2011,6,29,30,Control,346.0208442
8/8/2011,6,29,49,Control,366.9829352
8/8/2011,6,29,50,Control,466.3793943
8/8/2011,6,29,52,Control,337.1281797
8/8/2011,6,29,57,Control,337.1281797
8/8/2011,6,29,61,Control,307.6545282
8/8/2011,6,29,98,Control,394.0473231
8/8/2011,6,29,100,Control,336.7254264
8/8/2011,6,29,102,Control,259.1062004
8/8/2011,6,29,103,Control,197.9715626
8/8/2011,6,29,105,Control,13.82967494
8/8/2011,6,29,108,Control,161.6265717
8/8/2011,6,29,110,Control,32.53680827
8/8/2011,6,29,1,Press,198.2678557
8/8/2011,6,29,3,Press,367.9816905
8/8/2011,6,29,5,Press,199.9961014
8/8/2011,6,29,11,Press,42.82124351
8/8/2011,6,29,12,Press,719.7308611
8/8/2011,6,29,33,Press,610.3150893
8/8/2011,6,29,36,Press,196.5528691
8/8/2011,6,29,38,Press,52.9764323
8/8/2011,6,29,40,Press,502.8543611
8/8/2011,6,29,41,Press,484.28838
8/8/2011,6,29,45,Press,263.4883253
8/8/2011,6,29,47,Press,5.159874095
